symbol,mcap_eur_bn,drop_reason,gross_margin,revenue_growth,name
WY,15.4,gross_margin,0.14675,-0.02,Weyerhaeuser Company
CDW,15.3,gross_margin,0.21572,0.092,CDW Corporation
EDPR.LS,15.3,revenue_growth,0.79794,-0.1,"EDP RENEWABLES, SA"
AMCR,15.2,gross_margin,0.19143999,0.774,Amcor plc
ABF.L,15.1,gross_margin,0.074250005,0.011,ASSOCIATED BRITISH FOODS PLC OR
H,15.1,revenue_growth,0.42521,-0.035,Hyatt Hotels Corporation
BOL.ST,15.0,gross_margin,0.1765,0.317,Boliden AB
BEI.DE,14.7,revenue_growth,0.57714003,-0.002,BEIERSDORF AG                 I
BWXT,14.6,gross_margin,0.22658001,0.261,"BWX Technologies, Inc."
BAER.SW,14.4,gross_margin,0.0,0.018,JULIUS BAER N
EWBC,14.4,gross_margin,0.0,0.141,"East West Bancorp, Inc."
HST,14.3,gross_margin,0.28978002,0.028,"Host Hotels & Resorts, Inc."
CON.DE,14.2,gross_margin,0.26707,-0.104,CONTINENTAL AG                I
NVR,14.2,avg_volume,0.22489999,-0.214,"NVR, Inc."
APTV,14.1,gross_margin,0.18922001,0.054,Aptiv PLC
URW.PA,14.1,revenue_growth,0.69456,-0.038,UNIBAIL-RODAMCO-WESTFIELD
BWA,13.8,gross_margin,0.18787001,0.005,BorgWarner Inc.
SAB.MC,13.8,gross_margin,0.0,-0.106,BANCO DE SABADELL
TXT,13.8,gross_margin,0.17836,0.118,Textron Inc.
LDOS,13.6,gross_margin,0.17906,0.037,"Leidos Holdings, Inc."
ANA.MC,13.4,avg_volume,0.69632006,-0.017,"ACCIONA, S.A."
AGS.BR,13.3,gross_margin,0.29833,0.195,AGEAS
UPM.HE,13.3,gross_margin,0.11256,-0.053,UPM-Kymmene Corporation
SOON.SW,13.2,revenue_growth,0.73721004,,SONOVA N
CG,13.1,revenue_growth,0.8778,-0.941,The Carlyle Group Inc.
PFGC,13.1,gross_margin,0.12508,0.064,Performance Food Group Company
BBY,13.0,gross_margin,0.22518,0.019,"Best Buy Co., Inc."
BKT.MC,12.7,gross_margin,0.0,0.061,"BANKINTER, S.A."
WSO,12.7,gross_margin,0.28012,0.001,"Watsco, Inc."
MLI,12.6,gross_margin,0.29714,0.193,"Mueller Industries, Inc."
RTO.L,12.6,gross_margin,0.13767,0.058,RENTOKIL INITIAL PLC ORD 1P
J,12.4,gross_margin,0.2342,0.27,Jacobs Solutions Inc.
PNFP,12.3,gross_margin,0.0,1.564,"Pinnacle Financial Partners, In"
DY,12.2,gross_margin,0.20462999,0.561,"Dycom Industries, Inc."
YAR.OL,12.2,gross_margin,0.2894,0.166,YARA INTERNATIONAL
ARMK,12.1,gross_margin,0.15359999,0.147,Aramark
BALL,12.1,gross_margin,0.1917,0.163,Ball Corporation
CSL,12.0,revenue_growth,0.35571,-0.04,Carlisle Companies Incorporated
UHR.SW,12.0,revenue_growth,0.82197,-0.021,SWATCH GROUP I
CNH,11.8,gross_margin,0.18482,-0.001,CNH Industrial N.V.
APA,11.7,revenue_growth,0.72273004,-0.119,APA Corporation
DHER.DE,11.7,gross_margin,0.24418,0.101,Delivery Hero SE              N
SOLV,11.7,revenue_growth,0.53655,-0.03,Solventum Corporation
UNM,11.5,gross_margin,0.29533002,0.085,Unum Group
DINO,11.4,gross_margin,0.1114,0.118,HF Sinclair Corporation
1COV.DE,11.3,avg_volume,0.14488,-0.137,Covestro AG                   I
JMT.LS,11.2,gross_margin,0.20718999,0.063,"J.MARTINS,SGPS"
SPSN.SW,11.2,revenue_growth,0.88682,-0.196,SWISS PRIME SITE N
ADM.L,11.1,revenue_growth,0.41483003,-0.041,ADMIRAL GROUP PLC ORD 0.1P
BVI.PA,11.1,gross_margin,0.29119,0.018,BUREAU VERITAS
RGA,11.1,gross_margin,0.13461,0.235,"Reinsurance Group of America, I"
TOL,11.1,gross_margin,0.25203,-0.076,"Toll Brothers, Inc."
HRL,11.0,gross_margin,0.15783,-0.029,Hormel Foods Corporation
ALLY,10.9,gross_margin,0.0,0.197,Ally Financial Inc.
EG,10.9,gross_margin,0.15487,-0.047,"Everest Group, Ltd."
KNX,10.9,gross_margin,0.24023001,0.014,Knight-Swift Transportation Hol
RXL.PA,10.9,gross_margin,0.25072,-0.002,REXEL
AC.PA,10.8,gross_margin,0.22398001,-0.012,ACCOR
AIZ,10.6,gross_margin,0.12745,0.113,"Assurant, Inc."
SAIA,10.6,gross_margin,0.23625,0.024,"Saia, Inc."
SWKS,10.6,revenue_growth,0.41075,-0.01,"Skyworks Solutions, Inc."
SY1.DE,10.6,revenue_growth,0.37627,-0.024,Symrise AG                    I
AAON,10.4,gross_margin,0.26242,0.543,"AAON, Inc."
MOG-A,10.4,gross_margin,0.2727,0.126,Moog Inc.
SKF-B.ST,10.4,gross_margin,0.27211002,-0.087,"SKF, AB ser. B"
AVY,10.3,gross_margin,0.28755,0.07,Avery Dennison Corporation
CRBG,10.3,gross_margin,0.18412,0.021,Corebridge Financial Inc.
IVZ,10.3,gross_margin,0.28915,0.141,Invesco Ltd
RNR,10.3,revenue_growth,0.45793,-0.366,RenaissanceRe Holdings Ltd.
ARW,10.1,gross_margin,0.11259,0.39,"Arrow Electronics, Inc."
WBS,10.1,gross_margin,0.0,0.087,Webster Financial Corporation
